document_slug,lab,release_date,release_confidence,word_count
anthropic_mythos_card,anthropic,2026-04-08,med,65849
google_gemini_1_5_report,google,2024-02-15,high,64551
anthropic_opus46_card,anthropic,2026-03-20,low,53965
meta_llama3_paper,meta,2024-07-23,high,53027
anthropic_opus45_card,anthropic,2025-11-24,high,38212
anthropic_sonnet45_card,anthropic,2025-09-29,high,37364
anthropic_claude4_card,anthropic,2025-05-22,high,33237
google_gemini_report,google,2023-12-06,high,32283
anthropic_sonnet46_card,anthropic,2026-02-15,low,28336
openai_gpt4_system_card,openai,2023-03-14,high,27859
openai_gpt5_system_card,openai,2025-08-07,high,20412
anthropic_37_card,anthropic,2025-02-24,high,17827
openai_o1_system_card,openai,2024-12-05,high,17410
openai_gpt55_system_card,openai,2026-04-23,high,14496
anthropic_model_card,anthropic,2024-03-04,high,14089
openai_o3mini_card,openai,2025-02-10,high,12135
openai_gpt4o_system_card,openai,2024-08-08,high,11624
openai_gpt53_codex_card,openai,2026-01-20,low,10850
anthropic_haiku45_card,anthropic,2025-10-15,high,10325
openai_o3_system_card,openai,2025-04-16,high,9945
openai_gpt45_system_card,openai,2025-02-27,high,9853
openai_gpt52_system_card,openai,2025-12-15,low,7212
google_gemini_25_pro_card,google,2025-03-25,high,7182
google_gemini_25dt_card,google,2025-08-01,med,6313
anthropic_claude2_card,anthropic,2023-07-11,high,5889
anthropic_35h_addendum,anthropic,2024-10-22,high,5793
openai_operator_card,openai,2025-01-23,high,5291
anthropic_opus41_card,anthropic,2025-08-05,high,5271
meta_llama32_card,meta,2024-09-25,high,4158
xai_grok4_card,xai,2025-08-20,high,3482
meta_llama31_card,meta,2024-07-23,high,3304
meta_llama4_card,meta,2025-04-05,high,3165
xai_grok4_fast_card,xai,2025-09-19,high,2994
anthropic_35_addendum,anthropic,2024-06-20,high,2948
google_gemini_25_card,google,2025-04-09,high,2883
meta_responsible_use,meta,2024-12-06,high,2572
xai_grok41_card,xai,2025-11-17,high,2243
google_gemini_3_pro_card,google,2025-11-18,high,2158
google_gemini_31_pro_card,google,2026-02-20,low,1755
mistral_small_3_hf_card,mistral,2025-01-30,high,1740
google_gemini_2_card,google,2024-12-11,high,1529
openai_gpt51_system_card,openai,2025-11-12,med,1340
mistral_codestral_blog,mistral,2024-05-29,high,1235
meta_llama3_model_card,meta,2024-04-18,high,1191
google_gemini_3_card,google,2025-12-15,med,1070
mistral_large_2_blog,mistral,2024-07-24,high,979
mistral_small_3_blog,mistral,2025-01-30,high,957
meta_llama2_card,meta,2023-07-18,high,956
mistral_mixtral_model_card,mistral,2024-04-17,high,810
mistral_7b_model_card,mistral,2023-09-27,high,745
