limitation_term,year,n_cards_mentioning,n_total_cards,pct_mentioning,example_card_slugs,confidence
hallucination,2023,3,6,50.0,"openai_gpt4_system_card, anthropic_claude2_card, google_gemini_report",real (regex on raw card text)
hallucination,2024,7,16,43.8,"google_gemini_1_5_report, anthropic_model_card, meta_llama3_paper",real (regex on raw card text)
hallucination,2025,14,24,58.3,"openai_o3mini_card, anthropic_37_card, openai_gpt45_system_card",real (regex on raw card text)
hallucination,2026,4,6,66.7,"anthropic_sonnet46_card, anthropic_opus46_card, anthropic_mythos_card",real (regex on raw card text)
bias,2023,4,6,66.7,"openai_gpt4_system_card, anthropic_claude2_card, meta_llama2_card",real (regex on raw card text)
bias,2024,8,16,50.0,"google_gemini_1_5_report, anthropic_model_card, meta_llama3_paper",real (regex on raw card text)
bias,2025,15,24,62.5,"openai_o3mini_card, anthropic_37_card, openai_gpt45_system_card",real (regex on raw card text)
bias,2026,4,6,66.7,"anthropic_sonnet46_card, anthropic_opus46_card, anthropic_mythos_card",real (regex on raw card text)
cot_unfaithfulness,2023,0,6,0.0,,real (regex on raw card text)
cot_unfaithfulness,2024,2,16,12.5,"anthropic_model_card, openai_o1_system_card",real (regex on raw card text)
cot_unfaithfulness,2025,6,24,25.0,"anthropic_37_card, anthropic_claude4_card, openai_gpt5_system_card",real (regex on raw card text)
cot_unfaithfulness,2026,3,6,50.0,"anthropic_opus46_card, anthropic_mythos_card, openai_gpt55_system_card",real (regex on raw card text)
reward_hacking,2023,0,6,0.0,,real (regex on raw card text)
reward_hacking,2024,1,16,6.2,openai_o1_system_card,real (regex on raw card text)
reward_hacking,2025,11,24,45.8,"anthropic_37_card, google_gemini_25_pro_card, openai_o3_system_card",real (regex on raw card text)
reward_hacking,2026,3,6,50.0,"anthropic_sonnet46_card, anthropic_opus46_card, anthropic_mythos_card",real (regex on raw card text)
deception,2023,2,6,33.3,"openai_gpt4_system_card, google_gemini_report",real (regex on raw card text)
deception,2024,2,16,12.5,"anthropic_model_card, openai_o1_system_card",real (regex on raw card text)
deception,2025,17,24,70.8,"openai_operator_card, openai_o3mini_card, anthropic_37_card",real (regex on raw card text)
deception,2026,5,6,83.3,"openai_gpt53_codex_card, anthropic_sonnet46_card, anthropic_opus46_card",real (regex on raw card text)
benchmark_saturation,2023,1,6,16.7,google_gemini_report,real (regex on raw card text)
benchmark_saturation,2024,3,16,18.8,"google_gemini_1_5_report, meta_llama3_paper, openai_gpt4o_system_card",real (regex on raw card text)
benchmark_saturation,2025,13,24,54.2,"openai_o3mini_card, anthropic_37_card, openai_gpt45_system_card",real (regex on raw card text)
benchmark_saturation,2026,5,6,83.3,"openai_gpt53_codex_card, anthropic_sonnet46_card, anthropic_opus46_card",real (regex on raw card text)
