quarter,window_start,window_end,n_cards,n_labs,n_distinct_benchmarks,n_shared_2plus,pct_shared
2023-Q4,2023-01-01,2023-12-31,5,5,37,7,18.9
2024-Q1,2023-04-01,2024-03-31,6,4,46,11,23.9
2024-Q2,2023-07-01,2024-06-30,10,4,53,12,22.6
2024-Q3,2023-10-01,2024-09-30,12,5,69,13,18.8
2024-Q4,2024-01-01,2024-12-31,15,5,83,17,20.5
2025-Q1,2024-04-01,2025-03-31,20,5,119,16,13.4
2025-Q2,2024-07-01,2025-06-30,20,5,145,18,12.4
2025-Q3,2024-10-01,2025-09-30,21,6,171,18,10.5
2025-Q4,2025-01-01,2025-12-31,24,6,180,16,8.9
2026-Q1,2025-04-01,2026-03-31,21,5,175,14,8.0
2026-Q2,2025-07-01,2026-06-30,19,4,148,9,6.1
